,area,perimeter,physiological_length,physiological_width,aspect_ratio,rectangularity,circularity,mean_r,mean_g,mean_b,stddev_r,stddev_g,stddev_b,contrast,correlation,inverse_difference_moments,entropy
0,156488.5,2529.4671587944,1080,284,3.8028169014,1.9600162312,40.8860977479,40.2634892306,45.4391832937,28.919619867,72.9407538282,81.1317978802,55.6747596448,13.0278904077,0.9967854724,0.8974558088,3.1724538267
0,356741,2984.4002678394,995,607,1.6392092257,1.6930069714,24.9666984134,41.8909893831,65.9421212399,19.2884739764,48.3969087515,63.3849820339,43.8250013154,13.7415599803,0.9990442137,0.8436792559,5.8561367872
0,77286,1706.3514991999,445,607,0.7331136738,3.4950055638,37.6735170512,14.511649582,16.216749039,13.7514110074,42.5598703794,46.2412211169,40.546145746,18.2736380339,0.9963127899,0.9223935773,2.0234635466
0,153352.5,2559.3737921715,1080,234,4.6153846154,1.6479679171,42.7146228986,20.8289126853,27.9835179084,24.7457029105,44.2275916172,52.92160734,49.4921052159,18.3660457203,0.998128923,0.8761437302,3.3005224263
0,153352.5,2559.3737921715,1080,234,4.6153846154,1.6479679171,42.7146228986,20.8289126853,27.9835179084,24.7457029105,44.2275916172,52.92160734,49.4921052159,18.3660457203,0.998128923,0.8761437302,3.3005224263
0,189699.5,2981.148401022,1030,330,3.1212121212,1.7917812119,46.8490733445,51.646804259,58.8511776191,43.1342577338,78.5330082303,83.2431348628,72.1670822625,41.8748385131,0.9953561457,0.7217581815,5.6566987902
0,117210,1838.6458764076,451,607,0.7429983526,2.335611296,28.8424081463,12.8604521325,16.0496476295,5.3113567027,33.7536125592,38.6888317066,30.2991148609,19.2847246034,0.9982527837,0.9202866709,2.3870245836
0,351760,2966.9789149761,1080,607,1.7792421746,1.8636570389,25.0254829484,47.0775962536,67.2129614375,13.5682012325,50.4343950848,67.1222841359,37.3566111451,24.0053576628,0.9981630265,0.7231952555,6.3201553054
0,148371.5,2565.5260360241,1080,259,4.1698841699,1.8852677232,44.3611060178,32.5029547257,37.9730856062,27.8682591982,63.0468079388,70.5192375239,61.7899779364,19.6531205818,0.9965371728,0.8537899447,3.5765428996
0,241783,2664.2337517738,917,607,1.510708402,2.3021428306,29.3574878469,28.127826591,40.2588824822,15.8877966929,43.8677863009,55.0090480257,36.7755977384,20.4160580317,0.9985657426,0.8686035976,3.9871185558
0,180493.5,2582.864128232,1080,337,3.2047477745,2.0164715073,36.9608163447,24.4386692294,25.7851989139,17.7046464092,49.3436215676,50.0796823091,43.180189106,25.947097951,0.9981690697,0.876941219,3.7499134744
